Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,team
1,1,Mar 28,,CHC,"L,4-12",34,32,4,6,1,0,2,4,2,0,6,0,0,0,0,0,0,1,.188,.235,.406,.642,3,9,L,J.Lester(57),9.0,13,12,12,0,8,7,3,1,12.00,46,177,98,10,4,0,1,37,3,0,0,0,0,0,2,7,Jeff Kellogg,"M.Minor (99-31-L), J.Chavez (99), J.Gomez (99), K.Bird (99), S.Kelley (99), K.Dowdy (99), J.Springs (99)",0.35135135135135137,0.6756756756756757,0.4782608695652174,1.1539365452408932,TEX
2,2,Mar 30,,CHC,"W,8-6",44,32,8,10,2,0,2,8,12,0,14,0,0,0,1,1,0,1,.250,.385,.484,.869,12,9,R,Y.Darvish(39),9.0,9,6,6,0,7,5,1,0,9.00,42,160,98,0,0,1,0,34,3,0,0,0,1,0,1,5,Brian O'Nora,"E.Volquez (99-33), J.Gomez (1), J.Springs (1), S.Kelley (1-W), J.Leclerc (99-Sv)",0.2647058823529412,0.4411764705882353,0.38095238095238093,0.8221288515406162,TEX
3,3,Mar 31,,CHC,"W,11-10",41,34,11,11,1,1,3,10,6,0,7,0,0,1,0,1,2,0,.276,.395,.551,.946,5,11,L,C.Hamels(36),9.0,17,10,10,0,3,9,2,0,9.33,47,174,108,6,1,1,0,43,2,0,0,1,0,0,1,5,James Hoye,"L.Lynn (99-26), J.Chavez (2), K.Bird (2), C.Martin (99), J.Leclerc (0-W)",0.3953488372093023,0.5813953488372093,0.425531914893617,1.0069272637308264,TEX
4,4,Apr 1,,HOU,"L,1-2",28,28,1,2,0,0,1,1,0,0,7,0,0,0,0,0,0,1,.230,.333,.468,.802,0,9,R,B.Peacock(71),9.0,8,2,2,0,4,5,1,0,7.50,37,143,90,0,0,0,1,33,3,0,0,0,0,0,0,2,Gabe Morales,"D.Smyly (99-47), A.Sampson (99-L)",0.24242424242424243,0.42424242424242425,0.32432432432432434,0.7485667485667487,TEX
5,5,Apr 2,,HOU,"W,6-4",37,32,6,9,2,1,1,6,4,0,9,1,0,0,0,0,0,0,.241,.342,.475,.817,7,9,R,J.Verlander(35),9.0,12,4,4,0,5,5,0,1,6.80,42,161,98,3,0,4,0,34,2,0,0,1,1,0,2,5,Jerry Meals,"S.Miller (99-38), J.Chavez (1), S.Kelley (2-W), C.Martin (1-H), J.Leclerc (1-Sv)",0.35294117647058826,0.4117647058823529,0.42857142857142855,0.8403361344537814,TEX
6,6,Apr 3,,HOU,"W,4-0",33,29,4,5,1,0,1,4,4,0,13,0,0,0,0,0,2,0,.230,.332,.449,.781,5,10,R,G.Cole(58),9.0,6,0,0,0,2,9,0,0,5.67,34,120,74,0,0,0,1,32,2,0,0,0,0,2,2,3,Ron Kulpa,"M.Minor (5-72-W), S.Kelley (0-H), J.Leclerc (0)",0.1875,0.25,0.23529411764705882,0.4852941176470588,TEX
7,7,Apr 4,@,LAA,"W,11-4",45,39,11,15,3,0,2,11,4,0,10,2,0,0,0,1,0,0,.257,.355,.478,.833,7,9,R,M.Harvey(13),9.0,8,4,3,1,7,9,2,0,5.29,42,187,110,1,0,0,0,35,1,0,0,0,0,1,2,4,David Rackley,"E.Volquez (4-44), J.Springs (4-W), J.Gomez (4), K.Dowdy (6)",0.22857142857142856,0.42857142857142855,0.35714285714285715,0.7857142857142857,TEX
8,8,Apr 5,@,LAA,"L,1-3",35,32,1,6,1,0,1,1,3,0,12,0,0,0,0,1,2,0,.248,.343,.457,.801,7,10,R,F.Pena(57),8.0,6,3,3,0,1,7,2,0,5.07,30,120,75,0,0,0,0,29,1,0,0,0,0,0,1,2,Larry Vanover,"L.Lynn (4-63-L), J.Chavez (2)",0.20689655172413793,0.4482758620689655,0.23333333333333334,0.6816091954022989,TEX
9,9,Apr 6,@,LAA,"L,1-5",34,31,1,6,3,0,0,1,1,0,12,1,1,0,0,1,0,0,.242,.333,.439,.773,6,10,L,T.Skaggs(63),8.0,10,5,5,0,5,7,2,2,5.13,40,172,104,1,0,2,0,33,2,0,1,0,0,1,0,4,Alfonso Marquez,"D.Smyly (4-33-L), J.Chavez (0), A.Sampson (4), J.Gomez (1)",0.30303030303030304,0.5454545454545454,0.425,0.9704545454545455,TEX
10,10,Apr 7,@,LAA,"L,2-7",36,29,2,6,1,0,1,2,5,0,7,2,0,0,0,3,0,1,.239,.336,.431,.767,7,9,R,C.Stratton(43),8.0,9,7,7,0,6,5,2,2,5.38,40,169,103,2,0,1,0,32,0,0,1,0,0,1,1,5,Dan Bellino,"S.Miller (4-30-L), J.Springs (2), K.Bird (6), S.Kelley (3), C.Martin (4)",0.28125,0.46875,0.425,0.89375,TEX
11,11,Apr 9,@,ARI,"L,4-5",37,35,4,8,3,0,0,3,1,0,11,0,1,0,1,0,0,0,.238,.328,.419,.748,6,13,R,Z.Greinke(54),8.1,9,5,5,0,2,7,3,0,5.38,35,127,82,0,0,0,0,33,2,0,0,0,0,0,1,3,D.J. Reyburn,"M.Minor (5-62), C.Martin (1-H), J.Leclerc (5-BL)",0.2727272727272727,0.6060606060606061,0.3142857142857143,0.9203463203463204,TEX
12,12,Apr 10,@,ARI,"W,5-2",41,35,5,8,1,0,1,5,4,0,15,0,1,0,1,1,2,0,.237,.327,.412,.739,9,15,L,R.Ray(68),9.0,6,2,2,0,3,12,0,3,5.09,39,159,97,3,0,0,0,33,1,0,0,0,0,0,0,5,Fieldin Culbreth,"L.Lynn (4-67-W), J.Chavez (3-H), S.Kelley (2-H), J.Leclerc (0), K.Bird (2-Sv)",0.18181818181818182,0.21212121212121213,0.3076923076923077,0.5198135198135199,TEX
13,13,Apr 12,,OAK,"L,6-8",37,36,6,10,3,0,2,6,1,0,12,0,0,0,0,0,1,1,.241,.324,.422,.746,4,10,R,M.Fiers(34),9.0,11,8,8,0,2,9,2,0,5.32,38,172,103,5,4,0,1,36,2,0,0,0,0,0,1,6,Jansen Visconti,"D.Smyly (5-46), J.Chavez (1-H), S.Kelley (1-BSv), C.Martin (2-L), J.Springs (4), J.Gomez (5)",0.3055555555555556,0.5277777777777778,0.34210526315789475,0.8698830409356726,TEX
14,14,Apr 14,,OAK,"W,8-7",38,33,8,8,1,2,1,7,3,0,4,2,0,0,2,0,3,0,.241,.326,.427,.752,6,10,L,B.Anderson(59),9.0,10,7,7,0,3,10,2,1,5.44,39,168,106,0,0,1,0,35,2,0,0,0,0,0,2,5,Doug Eddings,"A.Sampson (7-20), J.Chavez (1), J.Gomez (1), J.Springs (1-W), J.Leclerc (3-Sv)",0.2857142857142857,0.5142857142857142,0.358974358974359,0.8732600732600733,TEX
15,15,Apr 15,,LAA,"W,12-7",46,38,12,14,3,0,3,11,7,0,6,1,0,0,0,0,3,0,.251,.338,.446,.785,10,9,R,T.Cahill(36),9.0,8,7,7,0,8,1,2,1,5.55,44,170,93,4,0,0,0,33,2,0,0,0,2,0,0,4,Greg Gibson,"S.Miller (7-32), K.Dowdy (10-W), K.Bird (4), J.Leclerc (0-Sv)",0.24242424242424243,0.48484848484848486,0.38636363636363635,0.8712121212121212,TEX
16,16,Apr 16,,LAA,"W,5-0",34,31,5,9,2,0,2,5,3,0,5,0,0,0,0,1,0,0,.253,.339,.452,.791,5,9,R,J.Barria(40),9.0,3,0,0,0,2,7,0,0,5.19,30,103,68,,,0,0,28,0,0,0,0,0,0,2,1,Carlos Torres,M.Minor (6-86-W),0.10714285714285714,0.10714285714285714,0.16666666666666666,0.2738095238095238,TEX
17,17,Apr 17,,LAA,"W,5-4",33,29,5,6,1,1,0,4,3,0,8,0,1,0,1,0,0,1,.250,.336,.445,.781,4,10,R,M.Harvey(37),9.0,10,4,4,0,4,6,1,1,5.12,41,169,109,2,0,0,0,36,3,0,0,0,0,0,1,5,Jeremie Rehak,"L.Lynn (6-46-W), J.Chavez (2-H), S.Kelley (4-H), C.Martin (4-H), J.Leclerc (1-Sv)",0.2777777777777778,0.4444444444444444,0.36585365853658536,0.8102981029810298,TEX
18,18,Apr 19,,HOU,"L,2-7",34,30,2,4,1,0,2,2,4,0,9,0,0,0,0,1,0,0,.244,.331,.441,.772,5,9,R,J.Verlander(72),9.0,11,7,7,0,5,13,2,0,5.23,42,190,115,3,1,1,0,37,5,0,0,0,0,1,1,4,Stu Scheurwater,"D.Smyly (6-40-L), J.Gomez (4), K.Dowdy (3), B.Martin (99)",0.2972972972972973,0.5945945945945946,0.38095238095238093,0.9755469755469756,TEX
19,19,Apr 20,,HOU,"W,9-4",38,34,9,10,3,1,1,8,4,0,12,0,0,0,1,0,2,1,.247,.333,.446,.779,5,9,R,G.Cole(16),9.0,11,4,4,0,1,4,2,1,5.16,38,124,79,2,0,0,0,36,4,0,0,0,0,0,2,4,Mark Wegner,"A.Sampson (5-43), S.Kelley (2-W), J.Chavez (2), C.Martin (2)",0.3055555555555556,0.5833333333333334,0.34210526315789475,0.9254385964912282,TEX
20,20,Apr 21,,HOU,"W,11-10",39,31,11,10,3,1,2,11,4,0,6,1,0,2,0,1,0,0,.251,.336,.457,.793,4,9,R,C.McHugh(6),9.0,11,10,8,2,6,6,5,0,5.31,44,169,102,4,1,0,0,36,1,1,0,0,2,1,1,6,Hunter Wendelstedt,"S.Miller (5-45-W), J.Springs (6), B.Martin (1), C.Martin (0-H), J.Leclerc (3-H), S.Kelley (0-Sv)",0.3055555555555556,0.8055555555555556,0.38636363636363635,1.191919191919192,TEX
21,21,Apr 22,@,OAK,"L,1-6",38,32,1,6,2,0,0,1,5,0,13,1,0,0,0,1,2,0,.248,.335,.447,.782,10,10,R,C.Bassitt(66),8.0,7,6,5,1,3,5,1,0,5.32,34,125,79,0,0,0,0,29,2,0,0,0,2,0,0,2,Will Little,"M.Minor (5-49-L), J.Gomez (2)",0.2413793103448276,0.41379310344827586,0.29411764705882354,0.7079107505070994,TEX
22,22,Apr 23,@,OAK,"L,5-11",42,39,5,14,4,0,1,5,2,0,9,0,0,1,1,2,1,0,.254,.337,.452,.790,10,9,R,F.Montas(43),8.0,14,11,10,1,6,7,1,1,5.57,45,165,104,4,0,1,0,38,3,1,0,0,0,1,1,3,Joe West,"L.Lynn (5-11-L), W.Huang (99), J.Springs (1)",0.3684210526315789,0.5789473684210527,0.4666666666666667,1.0456140350877194,TEX
23,23,Apr 24,@,OAK,"L,5-6",36,32,5,7,2,0,3,4,3,0,11,0,1,0,0,1,0,0,.252,.335,.457,.792,4,11,R,A.Brooks(50),8.2,11,6,6,0,6,7,2,0,5.60,41,165,102,0,0,1,1,35,1,0,0,0,0,0,0,4,Eric Cooper,"K.Dowdy (4-38), J.Chavez (3), A.Sampson (3), C.Martin (2-L)",0.3142857142857143,0.5142857142857142,0.4146341463414634,0.9289198606271776,TEX
24,24,Apr 25,@,SEA,"L,2-14",37,35,2,9,1,0,0,2,2,0,12,0,0,0,1,2,0,0,.253,.334,.449,.783,8,10,L,M.Gonzales(74),8.0,14,14,13,1,8,8,1,1,5.94,47,208,120,8,3,0,0,36,5,0,0,0,2,0,0,6,Tripp Gibson,"T.Hearn (99-23-L), B.Martin (3), J.Springs (1), J.Gomez (2), J.Leclerc (3), J.Mathis (99)",0.3888888888888889,0.6111111111111112,0.48936170212765956,1.1004728132387707,TEX
25,25,Apr 26,@,SEA,"L,4-5",46,37,4,6,1,0,2,4,9,1,11,0,0,0,0,1,2,1,.248,.333,.445,.778,9,11,L,Y.Kikuchi(55),10.1,6,5,5,0,9,10,1,0,5.87,46,189,112,0,0,2,0,37,0,0,0,0,0,0,0,6,Mark Carlson,"S.Miller (4-44), J.Chavez (1), S.Kelley (4), A.Sampson (1), C.Martin (1), K.Dowdy (1-L)",0.16216216216216217,0.24324324324324326,0.32608695652173914,0.5693301997649824,TEX
26,26,Apr 27,@,SEA,"W,15-1",55,49,15,20,7,0,3,15,5,0,7,1,0,0,2,0,0,0,.257,.341,.461,.802,13,9,R,M.Leake(22),9.0,3,1,1,0,1,16,1,1,5.68,32,140,96,0,0,0,0,30,0,0,0,0,0,0,0,2,Scott Barry,"M.Minor (4-79-W), A.Jurado (99)",0.1,0.2,0.15625,0.35625,TEX
27,27,Apr 28,@,SEA,"W,14-1",49,46,14,17,1,0,4,13,2,0,13,0,0,1,4,1,1,0,.263,.343,.471,.814,8,9,R,E.Swanson(12),9.0,7,1,1,0,4,10,0,0,5.50,36,144,94,0,0,0,0,32,3,0,0,0,0,0,1,3,Brian Gorman,"L.Lynn (4-69-W), B.Martin (2), J.Leclerc (2)",0.21875,0.3125,0.3055555555555556,0.6180555555555556,TEX
28,28,Apr 30,,PIT,"L,4-6",46,39,4,7,0,0,1,4,7,0,13,0,0,0,0,1,2,1,.260,.342,.462,.804,9,10,R,J.Lyles(49),11.0,14,6,5,1,2,12,2,1,5.44,50,191,128,2,0,0,0,47,3,0,0,0,0,1,0,7,Ed Hickox,"A.Sampson (3-64), B.Martin (1-H), S.Kelley (3-H), C.Martin (3-H), J.Leclerc (1-BSv), J.Chavez (3-L), A.Jurado (2)",0.2978723404255319,0.48936170212765956,0.34,0.8293617021276596,TEX
29,29,May 1,,PIT,"L,5-7",38,35,5,7,3,0,3,5,3,0,8,0,0,0,1,0,0,0,.258,.339,.465,.804,6,11,R,J.Taillon(52),9.0,8,7,7,0,5,7,0,0,5.49,40,152,90,3,0,1,0,34,4,0,0,1,0,0,0,5,Carlos Torres,"S.Miller (4-37-L), A.Jurado (0), W.Huang (7), K.Dowdy (4), B.Martin (0)",0.23529411764705882,0.35294117647058826,0.325,0.6779411764705883,TEX
30,30,May 3,,TOR,"L,0-1",43,38,0,4,1,0,0,0,5,2,12,0,0,0,0,0,0,0,.252,.334,.453,.787,7,11,R,T.Thornton(78),12.0,11,1,0,1,4,14,0,0,5.25,49,202,132,0,0,0,0,43,1,0,1,2,0,0,1,5,Mike Estabrook,"M.Minor (5-75), C.Martin (2), S.Kelley (2), B.Martin (1), A.Jurado (1-L)",0.2558139534883721,0.27906976744186046,0.30612244897959184,0.5851922164214522,TEX
