Rk,Gtm,Date,Var.4,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,X.,Thr,Opp..Starter..GmeSc.,SOPercH,IP,HA,RA,ER,UER,BBA,OSO,HRA,HBPA,ERA,BF,Pit,Str,IR,IS,SBA,CSA,ABA,2BA,3BA,IBBA,SHA,SFA,ROEA,DPT,NumPitchers,Umpire,Pitchers Used (Rest-GameScore-Dec),BAA,SLGA,OBPA,OPSA,WHIP,FIP,StrPerc,SOPerc,K_9,K_BB,HR_9,team,Year
1,1,Mar 29,,HOU,"L,1-4",34,31,1,6,1,0,0,0,2,0,9,1,0,0,0,1,0,0,.194,.265,.226,.491,6,9,R,J.Verlander(67),0.2647058823529412,9.0,6,4,4,0,6,13,2,0,4.00,37,145,85,1,0,0,0,30,2,0,0,0,1,0,2,5,Jerry Meals,"C.Hamels (99-50-L), J.Leclerc (99), C.Martin (99), M.Bush (99), K.Jepsen (99)",0.2,0.4666666666666667,0.32432432432432434,0.790990990990991,1.3333333333333333,5.161,0.5862068965517241,0.35135135135135137,13,2.1630615640599,2,TEX,2018
2,2,Mar 30,,HOU,"W,5-1",35,31,5,10,3,0,1,5,2,0,6,0,0,2,1,2,0,0,.258,.304,.371,.675,6,9,L,D.Keuchel(49),0.21739130434782608,9.0,5,1,1,0,5,6,0,0,2.50,36,138,83,3,0,0,0,31,2,0,0,0,0,1,3,5,Ron Kulpa,"D.Fister (99-55-W), C.Martin (0-H), A.Claudio (99-H), K.Jepsen (0), K.Kela (99)",0.18032786885245902,0.3442622950819672,0.3013698630136986,0.6456321580956659,1.2222222222222223,4.3276666666666666,0.5936395759717314,0.2602739726027397,9.5,1.7257039055404177,1,TEX,2018
3,3,Mar 31,,HOU,"L,3-9",36,32,3,5,1,0,1,3,4,0,13,0,0,0,0,0,0,0,.223,.286,.340,.626,6,10,R,L.McCullers(61),0.26666666666666666,9.0,14,9,9,0,4,9,2,0,4.67,45,183,112,2,1,0,0,40,4,0,0,0,1,0,0,6,Ed Hickox,"M.Moore (99-38-L), N.Gardewine (99), J.Chavez (99), J.Diekman (99), J.Leclerc (1), M.Bush (1)",0.24752475247524752,0.44554455445544555,0.3389830508474576,0.7845276053029031,1.4814814814814814,4.679518518518519,0.6008583690987125,0.23728813559322035,9.333333333333334,1.8654230512991339,1.3333333333333333,TEX,2018
4,4,Apr 1,,HOU,"L,2-8",33,30,2,4,1,0,2,2,3,0,12,0,0,0,0,1,0,0,.202,.268,.347,.615,4,10,R,G.Cole(77),0.2898550724637681,9.0,13,8,8,0,2,11,0,1,5.50,43,181,123,2,2,2,0,39,5,1,0,0,1,0,0,5,Gabe Morales,"M.Minor (99-53-L), C.Martin (1), A.Claudio (1), K.Jepsen (1), N.Gardewine (0)",0.2714285714285714,0.4642857142857143,0.34782608695652173,0.812111801242236,1.5277777777777777,3.8554444444444442,0.6228748068006182,0.2422360248447205,9.75,2.2927689594356258,1,TEX,2018
5,5,Apr 2,@,OAK,"L,1-3",39,35,1,7,0,0,0,1,4,0,11,0,0,0,1,0,2,0,.201,.271,.314,.586,11,10,R,A.Triggs(60),0.288135593220339,8.0,9,3,3,0,3,7,1,0,5.11,34,129,85,2,2,0,0,31,2,0,0,0,0,0,1,4,D.J. Reyburn,"B.Colon (99-57), K.Jepsen (0-L), J.Diekman (1), M.Bush (1)",0.27485380116959063,0.4619883040935672,0.3487179487179487,0.8107062528115159,1.5227272727272727,3.911,0.6288659793814433,0.2358974358974359,9.409090909090908,2.2988505747126435,1.0227272727272727,TEX,2018
6,6,Apr 3,@,OAK,"W,4-1",34,32,4,10,2,0,1,4,2,0,2,0,0,0,0,1,0,3,.220,.284,.340,.625,3,9,R,K.Graveman(35),0.25118483412322273,9.0,8,1,1,0,3,13,1,1,4.42,38,154,91,0,0,1,0,34,1,0,0,0,0,0,1,4,Sam Holbrook,"C.Hamels (4-63-W), A.Claudio (1-H), C.Martin (1-H), K.Kela (3-Sv)",0.2682926829268293,0.44390243902439025,0.34334763948497854,0.7872500785093688,1.471698113207547,3.708169811320755,0.6225806451612903,0.2532188841201717,10.018867924528301,2.564102564102564,1.0188679245283019,TEX,2018
7,7,Apr 4,@,OAK,"L,2-6",31,29,2,4,0,0,1,2,1,0,4,1,0,0,0,2,0,0,.209,.273,.327,.600,2,9,L,S.Manaea(75),0.23553719008264462,8.0,9,6,3,3,5,10,0,1,4.28,38,152,86,4,0,1,0,31,4,0,0,0,1,0,0,3,Ryan Blakney,"D.Fister (4-36-L), J.Chavez (3), J.Leclerc (3)",0.2711864406779661,0.4406779661016949,0.3505535055350554,0.7912314716367503,1.5081967213114753,3.5544426229508197,0.6146025878003697,0.25461254612546125,10.180327868852459,2.4634059264548376,0.8852459016393442,TEX,2018
8,8,Apr 5,@,OAK,"W,6-3",38,35,6,10,2,0,1,4,2,0,4,0,1,0,1,0,0,2,.220,.280,.341,.621,5,9,R,D.Mengden(45),0.21785714285714286,9.0,12,3,3,0,2,5,0,1,4.11,40,142,89,4,1,0,0,35,1,0,0,0,2,0,1,6,Jim Wolf,"M.Perez (99-37-W), K.Jepsen (2-H), M.Bush (2-H), J.Diekman (2-H), C.Martin (1-H), K.Kela (1-Sv)",0.28044280442804426,0.4317343173431734,0.3536977491961415,0.7854320665393149,1.5142857142857142,3.4467142857142856,0.6160130718954249,0.2379421221864952,9.514285714285714,2.4658447184271908,0.7714285714285715,TEX,2018
9,9,Apr 6,,TOR,"L,5-8",39,38,5,13,3,0,1,5,1,0,8,0,0,0,0,1,0,0,.235,.289,.362,.651,7,10,R,M.Estrada(64),0.21630094043887146,9.0,9,8,7,1,6,7,2,1,4.44,43,170,94,2,2,0,0,34,1,0,0,0,2,0,0,4,John Tumpane,"M.Moore (5-25-L), J.Chavez (1), M.Bush (0), A.Claudio (2)",0.2786885245901639,0.4360655737704918,0.3559322033898305,0.7919977771603224,1.5316455696202531,3.7939113924050636,0.6083213773314203,0.2288135593220339,9.227848101265822,2.2493751735628993,0.9113924050632911,TEX,2018
10,10,Apr 7,,TOR,"W,5-1",36,30,5,8,2,0,0,5,5,0,6,0,0,1,0,1,0,0,.238,.297,.359,.656,7,9,R,M.Stroman(30),0.2112676056338028,9.0,2,1,1,0,3,9,1,0,4.09,30,129,77,0,0,0,0,27,0,1,0,0,0,0,2,3,Mark Wegner,"M.Minor (5-69-W), K.Jepsen (1), J.Diekman (1)",0.2620481927710843,0.42168674698795183,0.3411458333333333,0.7628325803212852,1.4318181818181819,3.774636363636364,0.6073539067629679,0.234375,9.204545454545455,2.3071007433991286,0.9204545454545454,TEX,2018
